Id,Nombre,Estado,Cliente,Proveedor,Fecha de creación,Fecha última modificación,Código cliente,Código proveedor,Código contable,SupplierAccountancyCode,Dirección,Código postal,Población,País,Código país,Teléfono,Fax,Url,Email,Idioma por defecto,ID profesional 1,ID profesional 2,ID profesional 3,ID profesional 4,ID profesional 5,ID profesional 6,NIF intra.,Capital,Nota (privada),Nota (pública),Tipo de tercero,Empleados,Forma jurídica,Cliente potencial,Estado cliente potencial,Provincia,
1,Crichigno,1,1,0,2016-07-03 15:00:23,2016-07-03 12:05:26,clie001,,,,,,,Paraguay,PY,,,,,,,,,,,,,0,,,-,,,,ST_NEVER,,
2,Dicopar,1,1,0,2016-07-03 15:00:43,2016-07-03 08:00:43,,,,,,,,Paraguay,PY,,,,,,,,,,,,,0,,,-,,,,ST_NEVER,,
3,Pronet,1,1,0,2016-07-03 15:00:56,2016-07-03 08:00:56,,,,,,,,Paraguay,PY,,,,,,,,,,,,,0,,,-,,,,ST_NEVER,,
4,Datos.com.py,1,1,0,2016-07-03 19:25:46,2016-07-03 12:25:46,clie003,,,,,,,Paraguay,PY,,,,,,,,,,,,,0,,,-,,,,ST_NEVER,,
581,RETAIL S.A,1,2,0,,2016-07-03 19:34:43,,,,,TTE.CASCO Y BOGGIANI,,,-,,623-774/612-812,,,,,,,,,,,80016096-7,,,,-,EF0,-,,ST_NEVER,,
582,CADENA FARMACENTER S.A,1,2,0,,2016-07-03 19:34:43,,,,,Leon Fragnaud 790 c/ Pacheco,,,-,,601-656/607-008/602-,,,,,,,,,,,80019551-5,,,,-,EF0,-,,ST_NEVER,,
583,PUMA ENERGY PARAGUAY S.A.,1,2,0,,2016-07-03 19:34:43,,,,,AVDA.ESPANA 1404.,,,-,,6899000,,,,,,,,,,,80027277-3,,,,-,EF0,-,,ST_NEVER,,
584,COMFAR S.A.E.C.A,1,2,0,,2016-07-03 19:34:43,,,,,ARTIGAS 2315 Y SGTO-FERNANDEZ,,,-,,292031,,,,,,,,,,,80011726-3,,,,-,EF0,-,,ST_NEVER,,
585,AGRIPLUS S.A.,1,2,0,,2016-07-04 19:45:54,,,,,Avda. PRIMER PTTE. 3558,,,-,,280494/281590,,www.agriplus.com.py/,,,,,,,,,80027820-8,0,,,-,,,,ST_NEVER,,
586,PARALEVA S.A.,1,2,0,,2016-07-03 19:34:43,,,,,DR. SAMUEL PERES 679 C/ MISIONES,,,-,,220412/220415,,,,,,,,,,,80010811-6,,,,-,EF0,-,,ST_NEVER,,
587,INFORCOM S.A.,1,2,0,,2016-07-03 19:34:43,,,,,Manuel Dominguez 344,,,-,,449177,,,,,,,,,,,80019467-5,,,,-,EF0,-,,ST_NEVER,,
588,DISTRIMOTOR S.A,1,2,0,,2016-07-03 19:34:43,,,,,Eusebio Ayala c/ Boggiani,,,-,,524438,,,,,,,,,,,80015033-3,,,,-,EF0,-,,ST_NEVER,,
589,PARAGUAY REFRESCOS S.A.,1,2,0,,2016-07-03 19:34:43,,,,,RUTA Ã?EMBY KM 3.5,,,-,,959-1277/ 9591300,,,,,,,,,,,80003400-7,,,,-,EF0,-,,ST_NEVER,,
590,YACYRETA GAS S.R.L,1,2,0,,2016-07-03 19:34:43,,,,,RUTA 1 KM 224,,,-,,990-301;5,,,,,,,,,,,80008847-6,,,,-,EF0,-,,ST_NEVER,,
591,AUTOMOVIL SUPPLY S.A,1,2,0,,2016-07-03 19:34:43,,,,,HUMAITA 299,,,-,,448-656/f:491-490,,,,,,,,,,,80001129-5,,,,-,EF0,-,,ST_NEVER,,
592,BENITEZ CODAS & ASOCIADOS,1,2,0,,2016-07-03 19:34:43,,,,,BRASILIA ESQ/BRUGADA,,,-,,212-505,,,,,,,,,,,80022038-2,,,,-,EF0,-,,ST_NEVER,,
593,CONDOR S.A.C.I,1,2,0,,2016-07-03 19:34:43,,,,,BERNARD GOROST.C/GUARANIES,,,-,,569-7000,,,,,,,,,,,80002514-8,,,,-,EF0,-,,ST_NEVER,,
594,MICKEY S.R.L,1,2,0,,2016-07-03 19:34:43,,,,,AVDA. FELIX BOGADO,,,-,,,,,,,,,,,,,80001567-3,,,,-,EF0,-,,ST_NEVER,,
595,DATA SYSTEMS S.A,1,2,0,,2016-07-03 19:34:43,,,,,AVDA.PERU Y ARTIGAS,,,-,,213-347/8,,,,,,,,,,,80013889-9,,,,-,EF0,-,,ST_NEVER,,
596,ACARAY GAS S.R.L,1,2,0,,2016-07-03 19:34:43,,,,,RUTA2 KM 131,,,-,,211-124,,,,,,,,,,,80006098-9,,,,-,EF0,-,,ST_NEVER,,
597,ARP-COLCAT,1,2,0,,2016-07-03 19:34:43,,,,,RUTA TRANSCHACO KM 14,,,-,,755-958/ 754-119,,,,,,,,,,,80021518-4,,,,-,EF0,-,,ST_NEVER,,
598,BOARDING PASS,1,2,0,,2016-07-03 19:34:43,,,,,MALUTIN 345,,,-,,608-508,,,,,,,,,,,80026740-0,,,,-,EF0,-,,ST_NEVER,,
599,FLOR JARA Y CIA.,1,2,0,,2016-07-03 19:34:43,,,,,PITIANTUTA 1263,,,-,,215-098,,,,,,,,,,,80002443-5,,,,-,EF0,-,,ST_NEVER,,
600,CAMBIOS CHACO,1,2,0,,2016-07-03 19:34:43,,,,,PALMA364,,,-,,445-315,,,,,,,,,,,80007403-3,,,,-,EF0,-,,ST_NEVER,,
601,ASEGURADORA DEL ESTE S.A.DE SEG.,1,2,0,,2016-07-03 19:34:43,,,,,AVDA.RCA.ARGENTINA E/PACHECO Y SOUZA,,,-,,605-105,,,,,,,,,,,80025781-2,,,,-,EF0,-,,ST_NEVER,,
602,PRONET S.A.,1,2,0,,2016-07-03 19:34:43,,,,,PALMA E/15 DE AGOSTO,,,-,,453-242,,,,,,,,,,,80019137-4,,,,-,EF0,-,,ST_NEVER,,
603,VIRGILIO TORRES,1,2,0,,2016-07-03 19:34:43,,,,,,,,-,,,,,,,,,,,,,1747782,,,,-,EF0,-,,ST_NEVER,,
604,THE AMERICAN SCHOOL OF ASUNCION,1,2,0,,2016-07-03 19:34:43,,,,,AVDA.CABO MARECOS C/ AVDA. ESPAÃ?A,,,-,,236-4128pagos:,,,,,,,,,,,80023852-4,,,,-,EF0,-,,ST_NEVER,,
605,EMBAJADA DE LOS EE.UU DE AMERICA,1,2,0,,2016-07-03 19:34:43,,,,,MCAL.LOPEZ 1776,,,-,,213-715,,,,,,,,,,,CD-384-3-837,,,,-,EF0,-,,ST_NEVER,,
606,ADELAIDA S.A.,1,2,0,,2016-07-03 19:34:43,,,,,ITURBE NÂº 1442 ESQ. 2DA. PROYECTADA,,,-,,371-164/6,,,,,,,,,,,80001997-0,,,,-,EF0,-,,ST_NEVER,,
607,FERRETER S.A.,1,2,0,,2016-07-03 19:34:43,,,,,INIA.NAC.Y 2DA.PROYECTADA,,,-,,442-943,,,,,,,,,,,80010713-6,,,,-,EF0,-,,ST_NEVER,,
608,DALLAS S.A.,1,2,0,,2016-07-03 19:34:43,,,,,TTE.RUIZ 725,,,-,,214-227/ 296-367/9,,,,,,,,,,,80037811-3,,,,-,EF0,-,,ST_NEVER,,
609,CIA.MARITIMA PARAGUAYA S.A.,1,2,0,,2016-07-03 19:34:43,,,,,ARTIGAS 4145,,,-,,283-665-7,,,,,,,,,,,80002827-9,,,,-,EF0,-,,ST_NEVER,,
610,SCAVONE HNOS S.A,1,2,0,,2016-07-03 19:34:43,,,,,SANTA ANA 431 C/ ESPAÃ?A,,,-,,608-171,,,,,,,,,,,80001916-4,,,,-,EF0,-,,ST_NEVER,,
611,EL BUEN SAMARITANO,1,2,0,,2016-07-03 19:34:43,,,,,CAMPOS CERVERA C/ RCA.ARGENTINA,,,-,,607-735/40,,,,,,,,,,,80010146-4,,,,-,EF0,-,,ST_NEVER,,
612,INDEL S.A.,1,2,0,,2016-07-03 19:34:43,,,,,PASO MEDIN 5259,,,-,,940-312,,,,,,,,,,,80061506-9,,,,-,EF0,-,,ST_NEVER,,
613,CAMARA NAC.COMER. Y SERV. DE PY,1,2,0,,2016-07-03 19:34:43,,,,,ESTRELLA 550,,,-,,493-321,,,,,,,,,,,80025484-8,,,,-,EF0,-,,ST_NEVER,,
614,CLUB INTERNACIONAL DE TENIS,1,2,0,,2016-07-03 19:34:43,,,,,J.PABLO GOROSTIAGA C/M.LYNCH,,,-,,681-913/15,,,,,,,,,,,80010556-7,,,,-,EF0,-,,ST_NEVER,,
615,CHACOMER S.A.E.,1,2,0,,2016-07-03 19:34:43,,,,,AVDA. E.AYALA,,,-,,518-0000,,,,,,,,,,,80013744-2,,,,-,EF0,-,,ST_NEVER,,
616,EDIT.GRAF.CONTINUA S.A,1,2,0,,2016-07-03 19:34:43,,,,,JOSE BERGES274,,,-,,615-522,,,,,,,,,,,80012713-7,,,,-,EF0,-,,ST_NEVER,,
617,MERCURIO S.A.,1,2,0,,2016-07-03 19:34:43,,,,,AVDA. VENEZUELA 2080,,,-,,290-895,,,,,,,,,,,80015966-7,,,,-,EF0,-,,ST_NEVER,,
618,PARMALAT PARAGUAY S.A.,1,2,0,,2016-07-03 19:34:43,,,,,NTRA.SRA ASUNCION,,,-,,583-822,,,,,,,,,,,80010758-6,,,,-,EF0,-,,ST_NEVER,,
619,CELLULAR S.A,1,2,0,,2016-07-03 19:34:43,,,,,ESPAÃ?A 308 C/DR.BESTARD,,,-,,600-605-604/611-355,,,,,,,,,,,80008968-5,,,,-,EF0,-,,ST_NEVER,,
620,AJ S.A. CALIDAD ANTE TODO,1,2,0,,2016-07-03 19:34:43,,,,,ESPAÃ?A 1410 C/SAN RAFAEL,,,-,,4141139/4141126pagos,,,,,,,,,,,80009641-0,,,,-,EF0,-,,ST_NEVER,,
621,FENIX S.A. DE SEGUROS Y REASEGUROS,1,2,0,,2016-07-03 19:34:43,,,,,F.R.MORENO ESQ ITURBE,,,-,,495-549,,,,,,,,,,,80001856-7,,,,-,EF0,-,,ST_NEVER,,
622,AFS PARAGUAY,1,2,0,,2016-07-03 19:34:43,,,,,AZARA 2242,,,-,,442-369/222 040,,,,,,,,,,,80008634-1,,,,-,EF0,-,,ST_NEVER,,
623,INDEGA S.A.,1,2,0,,2016-07-03 19:34:43,,,,,RUTA MCAL.ESTIGARRIBIA KM 8 1/2,,,-,,501-O11,,,,,,,,,,,80003239-0,,,,-,EF0,-,,ST_NEVER,,
624,OAMI S.A.,1,2,0,,2016-07-03 19:34:43,,,,,RCA.FRANCESA,,,-,,318-5000,,,,,,,,,,,80016120-3,,,,-,EF0,-,,ST_NEVER,,
625,VENLOG S.A.,1,2,0,,2016-07-03 19:34:43,,,,,AVA.SACRAMENTO 3205,,,-,,296-955,,,,,,,,,,,80024842-2,,,,-,EF0,-,,ST_NEVER,,
626,CIE S.A,1,2,0,,2016-07-03 19:34:43,,,,,ISLA BOGADO,,,-,,642-850/ 642-793,,,,,,,,,,,80030503-5,,,,-,EF0,-,,ST_NEVER,,
627,HOLDING MOCIPAR,1,2,0,,2016-07-03 19:34:43,,,,,PDTTE FRANCO 982 C/COLON,,,-,,491 210 498 712,,,,,,,,,,,,,,,-,EF0,-,,ST_NEVER,,
628,HOLA PARAGUAY S.A,1,2,0,,2016-07-03 19:34:43,,,,,GUIDO SAPANO 1652 C/SAN MARTIN,,,-,,6199410,,,,,,,,,,,80018154-9,,,,-,EF0,-,,ST_NEVER,,
629,REYMA S.A,1,2,0,,2016-07-03 19:34:43,,,,,RIO DE JANEIRO 654 ES/PERU,,,-,,200-686,,,,,,,,,,,80023939-3,,,,-,EF0,-,,ST_NEVER,,
630,COOP.YPACARAI L.T.D.A.,1,2,0,,2016-07-03 19:34:43,,,,,ANTEQUERA 255,,,-,,0513432877-432681,,,,,,,,,,,80007694-0,,,,-,EF0,-,,ST_NEVER,,
631,FE CAMBIOS S.A.,1,2,0,,2016-07-03 19:34:43,,,,,PALMA 519 C/14 DE MAYO,,,-,,451 300 villa morra,,,,,,,,,,,80019043-2,,,,-,EF0,-,,ST_NEVER,,
632,PROCARD S.A,1,2,0,,2016-07-03 19:34:43,,,,,INDEPENDENCIA NACIONAL NÂº 776 ENTRE HAEDO Y HUMAITA,,,-,,4167000,,,,,,,,,,,80017307-4,,,,-,EF0,-,,ST_NEVER,,
633,MEDICAMENTOS S.R.L,1,2,0,,2016-07-03 19:34:43,,,,,ALONSO 1450 E/ALEJO GARCIA Y A,,,-,,420 394,,,,,,,,,,,80021452-8,,,,-,EF0,-,,ST_NEVER,,
634,COOMECIPAR LTDA.,1,2,0,,2016-07-03 19:34:43,,,,,RIO DE JANEIRO Y ROSA PEÃ?A,,,-,,248 8000,,,,,,,,,,,80000747-6,,,,-,EF0,-,,ST_NEVER,,
635,TECNOSERVICE S.A,1,2,0,,2016-07-03 19:34:43,,,,,AVDA.1ER.PTTE.1726,,,-,,296-341,,,,,,,,,,,80016705-8,,,,-,EF0,-,,ST_NEVER,,
636,LASER IMPORT S.A,1,2,0,,2016-07-03 19:34:43,,,,,VIA FERREA 2440 C/BRASILIA,,,-,,289-5000,,,,,,,,,,,80009129-9,,,,-,EF0,-,,ST_NEVER,,
637,LA CORDILLERANA,1,2,0,,2016-07-03 19:34:43,,,,,CADETE SISA 1231,,,-,,374 046,,,,,,,,,,,1975905-3,,,,-,EF0,-,,ST_NEVER,,
638,GUAYAKI S.A.,1,2,0,,2016-07-03 19:34:43,,,,,AVDA.BRASILIA,,,-,,291-339 f:293-031,,,,,,,,,,,80014641-7,,,,-,EF0,-,,ST_NEVER,,
639,ALPASA,1,2,0,,2016-07-03 19:34:43,,,,,MCAL. LOPEZ C/ GRAL R BENITEZ,,,-,,608 311/312/663-966,,,,,,,,,,,80029599-4,,,,-,EF0,-,,ST_NEVER,,
640,AV S.A,1,2,0,,2016-07-03 19:34:43,,,,,SAN MARTIN C/ SUCRE.3ERPISO,,,-,,4141900,,,,,,,,,,,80050807-6,,,,-,EF0,-,,ST_NEVER,,
641,TODO MAX S.A,1,2,0,,2016-07-03 19:34:43,,,,,TTE. VILLAMAYOR 495 C/ ITURBE,,,-,,201 255,,,,,,,,,,,80050601-4,,,,-,EF0,-,,ST_NEVER,,
642,A. MESA S.R.L,1,2,0,,2016-07-04 18:03:34,,,,,RIO DE JANEIRO 654 ESQ/PERU,,,-,,,,,,,,,,,,,80080860-6,,Tienen un problema grave de seguridad en: http://190.128.230.98/amesa,,-,EF0,-,,ST_NEVER,,
643,GAS CORONA S.A.E.C.A,1,2,0,,2016-07-03 19:34:43,,,,,AVDA SAN ANTONIO Y AVDA PADRE AMERICO FERREIRA,,,-,,990-301 990-911,,,,,,,,,,,80030609-0,,,,-,EF0,-,,ST_NEVER,,
644,COOP.MULT.S CRISTOBAL LTDA,1,2,0,,2016-07-03 19:34:43,,,,,DENIS ROA,,,-,,617-9249/617-9280tes,,,,,,,,,,,80016760-0,,,,-,EF0,-,,ST_NEVER,,
645,GRÃ?FICOS S.R.L,1,2,0,,2016-07-03 19:34:43,,,,,MAGALLANES 4231 - LAMBARE,,,-,,925 333,,,,,,,,,,,80007642-7,,,,-,EF0,-,,ST_NEVER,,
646,DECIPROC S.A.,1,2,0,,2016-07-03 19:34:43,,,,,RUTA ACCESO SUR 1021 Ã?EMBY,,,-,,528-224,,,,,,,,,,,80007858-6,,,,-,EF0,-,,ST_NEVER,,
647,CUEVAS HNOS S.A,1,2,0,,2016-07-03 19:34:43,,,,,MCAL.LOPEZ 5557,,,-,,379-7000,,,,,,,,,,,80002465-6,,,,-,EF0,-,,ST_NEVER,,
648,SHOPPING CENTER PARAGUAY S.A.,1,2,0,,2016-07-03 19:34:44,,,,,AVDA. AVIADORES DEL CHACO,,,-,,611-780,,,,,,,,,,,80009057-8,,,,-,EF0,-,,ST_NEVER,,
649,LA ESTRELLA SOLITARIA S.A,1,2,0,,2016-07-03 19:34:44,,,,,ESPAÃ?A 2076,,,-,,600 605,,,,,,,,,,,80006708-8,,,,-,EF0,-,,ST_NEVER,,
650,TALABART,1,2,0,,2016-07-03 19:34:44,,,,,PADRE PUCHECO,,,-,,222 457 230 084,,,,,,,,,,,80055195-8,,,,-,EF0,-,,ST_NEVER,,
651,NANCY CAFFARENA,1,2,0,,2016-07-03 19:34:44,,,,,TOURING,,,-,,,,,,,,,,,,,1263852-8,,,,-,EF0,-,,ST_NEVER,,
652,ESTUD.JURID.BOGARIN& DE JESUS,1,2,0,,2016-07-03 19:34:44,,,,,NTRA.SRA.ASUNC.540 C/OLIVA,,,-,,492-976,,,,,,,,,,,591225-3,,,,-,EF0,-,,ST_NEVER,,
653,EDITORIAL AZETA S.A,1,2,0,,2016-07-03 19:34:44,,,,,YEGROS C/ HERRERA,,,-,,491-160/4151395,,,,,,,,,,,80001788-9,,,,-,EF0,-,,ST_NEVER,,
654,LAURA SAMUDIO,1,2,0,,2016-07-03 19:34:44,,,,,,,,-,,,,,,,,,,,,,,,,,-,EF0,-,,ST_NEVER,,
655,RUBEN SAVORGNAN,1,2,0,,2016-07-03 19:34:44,,,,,,,,-,,,,,,,,,,,,,,,,,-,EF0,-,,ST_NEVER,,
656,COMPUTEC S.A INFORMATICA,1,2,0,,2016-07-03 19:34:44,,,,,CERRO CORA 1253 C/CURUPAYTY,,,-,,209 218 209 219,,,,,,,,,,,80020288-0,,,,-,EF0,-,,ST_NEVER,,
657,TUBOPAR S.A,1,2,0,,2016-07-03 19:34:44,,,,,AVDA.CACIQUE LAMBARE C/ACOSTA,,,-,,905-452/6,,,,,,,,,,,80019202-8,,,,-,EF0,-,,ST_NEVER,,
658,TRAFALGAR S.R.L,1,2,0,,2016-07-03 19:34:44,,,,,DR.CASTULO FRANCO 313,,,-,,529 263,,,,,,,,,,,80008567-1,,,,-,EF0,-,,ST_NEVER,,
659,AMIGO Y ARDITI S.A,1,2,0,,2016-07-03 19:34:44,,,,,RUT6A MCAL ESTIG.1282 ESQ YTORORO,,,-,,515 225,,,,,,,,,,,80002555-5,,,,-,EF0,-,,ST_NEVER,,
660,MERCADO PLUS S.A.,1,2,0,,2016-07-03 19:34:44,,,,,,,,-,,908-859,,,,,,,,,,,80024431-1,,,,-,EF0,-,,ST_NEVER,,
661,ASOC.DE AGENTES MARITIMOS DEL PY,1,2,0,,2016-07-03 19:34:44,,,,,TTE.RUIZ 821 C/ WASHIGTON,,,-,,222-621,,,,,,,,,,,80027832-1,,,,-,EF0,-,,ST_NEVER,,
662,PARAGUAY TRADING S.A,1,2,0,,2016-07-03 19:34:44,,,,,AV.GABRIEL PELLON Y VICTOR MORINIGO,,,-,,237-7177,,,,,,,,,,,80014942-4,,,,-,EF0,-,,ST_NEVER,,
663,COSTA ORIENTAL PY S.A.,1,2,0,,2016-07-03 19:34:44,,,,,RUTA12 KM3 1/2 VILLA HAYES,,,-,,98332390,,,,,,,,,,,80072091-1,,,,-,EF0,-,,ST_NEVER,,
664,COLEGAIO STELLA MARIS,1,2,0,,2016-07-03 19:34:44,,,,,,,,-,,,,,,,,,,,,,,,,,-,EF0,-,,ST_NEVER,,
665,DULSA ORGANICA,1,2,0,,2016-07-03 19:34:44,,,,,RUTA LUQUE -LIMPIO,,,-,,641-495,,,,,,,,,,,80046048-0,,,,-,EF0,-,,ST_NEVER,,
666,AUTORREPUESTOS DARMANAS,1,2,0,,2016-07-03 19:34:44,,,,,,,,-,,590 943,,,,,,,,,,,1876714-1,,,,-,EF0,-,,ST_NEVER,,
667,GRUPO ITAUGUA S.A,1,2,0,,2016-07-03 19:34:44,,,,,,,,-,,,,,,,,,,,,,,,,,-,EF0,-,,ST_NEVER,,
668,GOURMAND S.A,1,2,0,,2016-07-03 19:34:44,,,,,JUAN DE SALAZAR 856,,,-,,606 275,,,,,,,,,,,80083107-1,,,,-,EF0,-,,ST_NEVER,,
669,GRUPO ITAGUA S.A,1,2,0,,2016-07-03 19:34:44,,,,,,,,-,,,,,,,,,,,,,80082034-7,,,,-,EF0,-,,ST_NEVER,,
670,TOYOTOSHI S.A,1,2,0,,2016-07-03 19:34:44,,,,,MCAL.LOPEZ 2801,,,-,,619-0877/570-570,,,,,,,,,,,80003128-8,,,,-,EF0,-,,ST_NEVER,,
671,TECNOEDIL S.A. CONSTRUCTORA,1,2,0,,2016-07-03 19:34:44,,,,,TTE.DEMETRIO ARAUJO N107 ESQ/SACRAMENTO,,,-,,,,,,,,,,,,,,,,,-,EF0,-,,ST_NEVER,,
672,COOPERATIVA MERCADO N4 LTDA,1,2,0,,2016-07-03 19:34:44,,,,,AVDA. PETIROSSI C/ BATILANA,,,-,,021.2185000,,,,,,,,,,,80018884-5,,,,-,EF0,-,,ST_NEVER,,
673,MAPFRE PARAGUAY CIA. DE SEGUROS S.A,1,2,0,,2016-07-03 19:34:44,,,,,MCAL.LOPEZ N910,,,-,,217-6412,,,,,,,,,,,80007979-5,,,,-,EF0,-,,ST_NEVER,,
674,GOLDEN TRADE S.R.L,1,2,0,,2016-07-03 19:34:44,,,,,PALMA Nro 685,,,-,,021.447266,,,,,,,,,,,80002894-5,,,,-,EF0,-,,ST_NEVER,,
675,UTILPAR S.R.L,1,2,0,,2016-07-03 19:34:44,,,,,MCAL LOPEZ C/ CERRO PORTEÃ?O,,,-,,021.523652/3,,,,,,,,,,,80005173-4,,,,-,EF0,-,,ST_NEVER,,
676,BRINGCO S.A,1,2,0,,2016-07-03 19:34:44,,,,,Gral. Aquino 422 e/ cerro cora,,,-,,021.223333,,,,,,,,,,,80063527-2,,,,-,EF0,-,,ST_NEVER,,
677,ASUNCION GOLF& CLUB,1,2,0,,2016-07-03 19:34:44,,,,,,,,-,,,,,,,,,,,,,,,,,-,EF0,-,,ST_NEVER,,
678,MARLENE SAMUDIO,1,2,0,,2016-07-03 19:34:44,,,,,,,,-,,,,,,,,,,,,,3839453-7,,,,-,EF0,-,,ST_NEVER,,
679,VISION BANCO S.A.E.C.A,1,2,0,,2016-07-03 19:34:44,,,,,AVDA SANTA TERESA 3088,,,-,,4153539 pago: 414300,,,,,,,,,,,80009310-0,,,,-,EF0,-,,ST_NEVER,,
680,GUIDO A. BENITEZ,1,2,0,,2016-07-03 19:34:44,,,,,15 DE SETIEMBRE NÂº430 C/ INDIA,,,-,,021.294934,,,,,,,,,,,2306260-6,,,,-,EF0,-,,ST_NEVER,,
681,GRAFITEC,1,2,0,,2016-07-03 19:34:44,,,,,,,,-,,,,,,,,,,,,,,,,,-,EF0,-,,ST_NEVER,,
682,SAN RAFAEL DISTRIBUIDORA,1,2,0,,2016-07-03 19:34:44,,,,,RCA.ARGENTINA 1714,,,-,,0984 747314,,,,,,,,,,,4260240-8,,,,-,EF0,-,,ST_NEVER,,
683,ASOFA,1,2,0,,2016-07-03 19:34:44,,,,,DR CANDIA Y DR INSFRAN,,,-,,493 610,,,,,,,,,,,80034329-8,,,,-,EF0,-,,ST_NEVER,,
684,CABAÃ?AS TRES ARROYOS,1,2,0,,2016-07-03 19:34:44,,,,,ITURBE 1442 ESQ 2DA PROYECTADA,,,-,,371-164,,,,,,,,,,,80002753-1,,,,-,EF0,-,,ST_NEVER,,
685,INST.PRIVADO DEL NINO,1,2,0,,2016-07-03 19:34:44,,,,,AZARA 1042 C/EEUU,,,-,,211-203,,,,,,,,,,,80000156-7,,,,-,EF0,-,,ST_NEVER,,
686,ALIANZA COMERCIAL S.A,1,2,0,,2016-07-03 19:34:44,,,,,JUAN C. PATIÃ?O 1298,,,-,,299-984,,,,,,,,,,,80024350-1,,,,-,EF0,-,,ST_NEVER,,
687,STREAM S.A,1,2,0,,2016-07-03 19:34:44,,,,,PALMA 691 C/O`LEARY,,,-,,453 242,,,,,,,,,,,80020343-7,,,,-,EF0,-,,ST_NEVER,,
688,COOP. MULTI. LA RURAL LTDA,1,2,0,,2016-07-03 19:34:44,,,,,RUTA TRANSCHACO KM 14,,,-,,755 958,,,,,,,,,,,80082320-6,,,,-,EF0,-,,ST_NEVER,,
689,ATALAYA S.A DE SEGUROS,1,2,0,,2016-07-03 19:34:44,,,,,IND NAC.565 E/AZARA Y CERRO,,,-,,492 811/12,,,,,,,,,,,80004518-1,,,,-,EF0,-,,ST_NEVER,,
690,RIS S.R.L,1,2,0,,2016-07-03 19:34:44,,,,,IND NAC 565E/AZARA Y CERRO,,,-,,492 811/12,,,,,,,,,,,80017228-0,,,,-,EF0,-,,ST_NEVER,,
